model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
tuned_xgb,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/tuned_xgb_20260330.csv,ok,,-0.019790000000000002,-0.02355,0.00376,40
baseline_xgb,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/baseline_xgb_20260330.csv,ok,,-0.011619999999999998,-0.02355,0.011930000000000001,50
lightgbm,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/lightgbm_20260407.csv,ok,,0.08067,0.06835,0.01232,100
tuned_xgb,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/tuned_xgb_20260407.csv,ok,,0.07507,0.06835,0.00672,65
baseline_xgb,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/baseline_xgb_20260407.csv,ok,,0.08916,0.06835,0.020819999999999998,50
lightgbm,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/lightgbm_20260414.csv,ok,,0.02632,0.02247,0.00385,80
tuned_xgb,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/tuned_xgb_20260414.csv,ok,,0.02259,0.02247,0.00012,100
baseline_xgb,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/baseline_xgb_20260414.csv,ok,,0.03161,0.02247,0.009130000000000001,50
lightgbm,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/lightgbm_20260421.csv,ok,,0.00268,-0.008020000000000001,0.010709999999999999,80
tuned_xgb,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/tuned_xgb_20260421.csv,ok,,0.00637,-0.008020000000000001,0.01439,40
baseline_xgb,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/baseline_xgb_20260421.csv,ok,,-0.02412,-0.008020000000000001,-0.0161,50
lightgbm,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/lightgbm_20260428.csv,ok,,0.08608,0.05975,0.02633,40
tuned_xgb,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/tuned_xgb_20260428.csv,ok,,0.08993000000000001,0.05975,0.03018,40
baseline_xgb,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_tree_consensus_tuned_20260508/baseline_xgb_20260428.csv,ok,,0.07679,0.05975,0.01704,50
